name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
MKT/SOC SYS ON INTERNET,null,39026,/courses/39026,Want to understand the sociological and algorithmic aspects of friend recommendation? Want to know how Google decides what 10 answers to return out of the 10 million matching results? Want to understand how search engines have revolutionized advertising? Then this is the course for you! NETS 150 provides an overview of the issues theoretical foundations and existing techniques in networks (social information communication) and markets on the Internet. Subsequent NETS courses are available for students wishing to explore any of these topics in greater detail.,[NETS-150],3.07,3.43,2.0,2.82,2.15,2.83,3.2,84
FACING RACE,null,41205,/courses/41205,Is race imaginary? If so who invented facial distinctions and why can we see them? Do pictures change the way we think? How do artists think about the people they draw and satirize? This course will explore the relationship between caricature and perceptions of racial difference in modern western culture. We will interrogate the role that visual images play in framing our perceptions of groups and their defining characteristics. Broadly historical this interdisciplinary course will introduce students to scholarship in visual culture media studies science studies critical disability and gender studies and race theory. Students will develop skills in primary source analysis historical methodology and visual analysis. Assignments will include a visual analysis short papers and a final project in which they make a comic book.,[COMM-405],3.45,3.7,2.0,3.11,2.47,3.05,3.53,20
THE HONORS PROGRAM,null,41313,/courses/41313,An essay of substantial length on a literary or linguistic topic written under the supervision of a faculty adviser.,[ENGL-311],3.4,3.7,2.11,-1.0,2.89,-1.0,-1.0,10
INTRO TO RESEARCH,null,39186,/courses/39186,Introduction to research in particle nuclear condensed matter and astrophysics. Selected current topics from journals.,[PHYS-501],2.69,2.91,0.0,-1.0,0.0,-1.0,-1.0,18
BEETHOVEN,null,36179,/courses/36179,Courses under this number will focus on a specific composer from the classical tradition. As well as introducing students to the music and cultural environment of a given composer courses will also examine the reception and canonization of a given composer and the mechanisms of cult-formation. Fulfills Arts and Letters sector and Cross Cultural Analysis Requirements.,[MUSC-032],2.48,2.76,2.39,-1.0,1.87,-1.0,-1.0,27
TPCS THEORIES GENDER/SEX: GLOBAL FEMINISM,null,39885,/courses/39885,This course explores an aspect of gender and sexuality intensively; specific course topics vary from year to year.,[ENGL-296 -- COML-297 -- GSWS-297],3.33,3.38,3.0,-1.0,3.09,-1.0,-1.0,13
RDGS MOD CHINESE II:LIT,null,38291,/courses/38291,The main difference between this course and CHIN411 is the reading materials and topics. This course is designed for students who have completed a minimum of three years of college level Mandarin classes or equivalent. This course may be used to fulfill language or elective requirement for Chinese major or minor. The objectives of the course are 1) to help students gain an in-depth multi-faceted and critical understanding of Chinese people Chinese society and Chinese culture; 2) to facilitate students acquisition of formal or written language; and 3) to develop students' analytical and critical thinking skills. These objectives are achieved primarily through 1) close reading and discussion of original literary texts by 20th-century Chinese writers; and 2) regular writing exercises. Students will also view several Chinese films that are related to the topics of the reading text. The class is to be conducted exclusively in Chinese.,[CHIN-412],3.67,3.67,2.33,-1.0,2.33,-1.0,-1.0,3
ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing,null,40980,/courses/40980,Please see our website for more current information: asam.sas.upenn.edu,[ASAM-110],3.88,4.0,1.25,-1.0,1.88,-1.0,-1.0,8
RACE AND THE MEDIA,null,42132,/courses/42132,This course considers the theory and practice of minority representation in the public domain: film theater television music advertising and museums. How has minority been defined - who is included and why? How have notions of minority status been constructed in our public languages and what may be the impact of those images on both minority and non-minority populations? Our focus will be on representation and how it may work to marginalize or empower members of minority populations. While we will concentrate primarily on ethnic minorities we will also consider how these same issues might affect sexual minorities. Our discussions will be supplemented by film and video examples. While the course will be theoretically situated in communication it will consider how the perspectives of anthropology feminism and literary and ethnic studies have affected our understanding of public representations.,[SOCI-250 -- AFRC-249],2.72,2.89,1.38,-1.0,1.17,-1.0,-1.0,18
THE AMERICAN PRESIDENCY,null,44820,/courses/44820,This course surveys the institutional development of the American presidency from the Constitutional convention through the current administration. It examines the politics of presidential leadership and how the executive branch functions. An underlying theme of the course is the tensions bewteen the presidency leadership and democracy.,[PSCI-237],3.7,3.8,3.33,-1.0,3.67,-1.0,-1.0,31
TECH & MED IN MOD AMER,null,35954,/courses/35954,Medicine as it exists in contemporary America is profoundly technological; we regard it as perfectly normal to be examined with instruments to expose our bodies to many different machines; and to have knowledge produced by those machines mechanically/electronically processed interpreted and stored. We are billed technolgoically prompted to attend appointments technologically and often buy technologies to protect diagnose or improve our health: consider for example HEPA-filtering vacum cleaners; air-purifiers; fat-reducing grills; bathroom scales; blood pressure cuffs; pregancy testing kits; blood-sugar monitoring tests; and thermometers. Yet even at the beginning to the twentieth century medical technolgies were scarce and infrequently used by physicians and medical consumers alike. Over the course of this semester we will examine how technology came to medicine's center-stage and what impact this change has had on medical practice medical institutions and medical consumers - on all of us!,[HSOC-152 -- STSC-162],3.23,3.6,2.08,-1.0,2.32,-1.0,-1.0,31
